Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
REGI;Renewable Energy Group, Inc.;9.95;383724337.0;;2012;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/regi
WSBF;Waterstone Financial, Inc.;17.9;527091669.79999995;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/wsbf
BOFI;BofI Holding, Inc.;27.47;1740557134.23;;2005;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bofi
REXX;Rex Energy Corporation;0.46440000000000003;45517295.7144;;2007;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/rexx
SPPI;Spectrum Pharmaceuticals, Inc.;6.61;530469586.84999996;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/sppi
SPLK;Splunk Inc.;60.9;8261741014.8;;2012;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/splk
SFM;Sprouts Farmers Market, Inc.;22.58;3083025082.02;;2013;Consumer Services;Food Chains;http://www.nasdaq.com/symbol/sfm
BHACU;Barington/Hilco Acquisition Corp.;13.0;0.0;;2015;Finance;Business Services;http://www.nasdaq.com/symbol/bhacu
DFRG;"Del Frisco&#39;s Restaurant Group, Inc.";17.6;411946339.2;;2012;Consumer Services;Restaurants;http://www.nasdaq.com/symbol/dfrg
OBSV;ObsEva SA;11.2001;331873097.5262;;2017;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/obsv
TA;TravelCenters of America LLC;5.8;229219108.8;;;Consumer Durables;Automotive Aftermarket;http://www.nasdaq.com/symbol/ta
AMBCW;Ambac Financial Group, Inc.;8.5;0.0;;;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/ambcw
AMWD;American Woodmark Corporation;89.8;1457689725.0;;1986;Basic Industries;Forest Products;http://www.nasdaq.com/symbol/amwd
CEMI;Chembio Diagnostics, Inc.;5.5;67645171.0;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/cemi
KLRE;KLR Energy Acquisition Corp.;10.32;105590628.00000001;;2016;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/klre
NDLS;Noodles & Company;4.5;125428162.5;;2013;Consumer Services;Restaurants;http://www.nasdaq.com/symbol/ndls
TCMD;Tactile Systems Technology, Inc.;18.14;306495235.85999995;;2016;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/tcmd
LPTH;LightPath Technologies, Inc.;2.32;55046145.84;;1996;Technology;Semiconductors;http://www.nasdaq.com/symbol/lpth
NAKD;Naked Brand Group Inc.;2.3;18750319.900000002;;;Consumer Non-Durables;Apparel;http://www.nasdaq.com/symbol/nakd
PTSI;P.A.M. Transportation Services, Inc.;15.9;101772767.70000002;;1986;Transportation;Trucking Freight/Courier Services;http://www.nasdaq.com/symbol/ptsi
FANH;Fanhua Inc.;8.97;327837748.68;36548244;;Finance;Specialty Insurers;http://www.nasdaq.com/symbol/fanh
WLTW;Willis Towers Watson Public Limited Company;129.88;17602353391.48;;;Finance;Specialty Insurers;http://www.nasdaq.com/symbol/wltw
AIRG;Airgain, Inc.;14.5;135897364.0;;2016;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/airg
BZUN;Baozun Inc.;14.97;419615851.47;28030451;2015;Consumer Services;Catalog/Specialty Distribution;http://www.nasdaq.com/symbol/bzun
ONSIZ;Oncobiologics, Inc.;0.4495;0.0;;2016;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/onsiz
PAVMW;PAVmed Inc.;2.98;0.0;;2016;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/pavmw
HDNG;Hardinge Inc.;10.56;136506120.95999998;;1995;Capital Goods;Industrial Machinery/Components;http://www.nasdaq.com/symbol/hdng
TRIP;TripAdvisor, Inc.;42.69;6154185191.82;;;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/trip
FLGT;Fulgent Genetics, Inc.;11.0;194438816.0;;2016;Health Care;Medical Specialities;http://www.nasdaq.com/symbol/flgt
MIME;Mimecast Limited;21.51;1185653527.3799999;;2015;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/mime
SSRI;Silver Standard Resources Inc.;10.51;1255162446.42;;;Basic Industries;Precious Metals;http://www.nasdaq.com/symbol/ssri
MAYS;J. W. Mays, Inc.;39.65;79925677.0;;;Consumer Services;Building operators;http://www.nasdaq.com/symbol/mays
RTNB;root9B Holdings, Inc.;5.98;33635634.24;;;Consumer Services;Professional Services;http://www.nasdaq.com/symbol/rtnb
LNDC;Landec Corporation;11.55;314978109.59999996;;1996;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/lndc
PRFT;Perficient, Inc.;17.36;614888943.1999999;;1999;Technology;EDP Services;http://www.nasdaq.com/symbol/prft
EFOI;Energy Focus, Inc.;3.21;37590862.29;;;Consumer Durables;Building Products;http://www.nasdaq.com/symbol/efoi
ITUS;ITUS Corporation;2.43;21282061.5;;;Miscellaneous;Multi-Sector Companies;http://www.nasdaq.com/symbol/itus
LE;"Lands&#39; End, Inc.";19.4;621369564.6;;;Consumer Services;Clothing/Shoe/Accessory Stores;http://www.nasdaq.com/symbol/le
PUI;PowerShares DWA Utilities Momentum Portfolio;27.3811;52024090.0;;;;;http://www.nasdaq.com/symbol/pui
AREX;Approach Resources Inc.;2.26;182841629.76;;2007;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/arex
CDW;CDW Corporation;57.63;9184325339.07;;2013;Consumer Services;Catalog/Specialty Distribution;http://www.nasdaq.com/symbol/cdw
IMMY;Imprimis Pharmaceuticals, Inc.;2.8200000000000003;52530720.300000004;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/immy
ORRF;Orrstown Financial Services Inc;20.65;172178791.4;;;Finance;Major Banks;http://www.nasdaq.com/symbol/orrf
PSDO;Presidio, Inc.;14.61;1294607352.84;;2017;Technology;Retail: Computer Software & Peripheral Equipment;http://www.nasdaq.com/symbol/psdo
IMDZ;Immune Design Corp.;6.45;164087077.64999998;;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/imdz
OREX;Orexigen Therapeutics, Inc.;3.98;58055348.58;;2007;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/orex
TIL;Till Capital Ltd.;3.93;13166616.120000001;;;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/til
GABC;German American Bancorp, Inc.;44.66;681575508.46;;;Finance;Major Banks;http://www.nasdaq.com/symbol/gabc
FTSL;First Trust Senior Loan Fund ETF;48.32;1171760096.6399999;;;;;http://www.nasdaq.com/symbol/ftsl
LBRDA;Liberty Broadband Corporation;84.6;15380053187.4;;;Consumer Services;Television Services;http://www.nasdaq.com/symbol/lbrda
MGLN;Magellan Health, Inc.;65.65;1549300347.4;;;Health Care;Hospital/Nursing Management;http://www.nasdaq.com/symbol/mgln
PCOM;Points International, Ltd.;7.09;105423861.66;;;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/pcom
AZRX;AzurRx BioPharma, Inc.;3.63;34960849.440000005;;2016;;;http://www.nasdaq.com/symbol/azrx
CASS;Cass Information Systems, Inc;62.98;705201293.4799999;;;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/cass
VLRX;Valeritas Holdings, Inc.;6.75;11076169.5;;;;;http://www.nasdaq.com/symbol/vlrx
PSCT;PowerShares S&P SmallCap Information Technology Portfolio;72.32;549632000.0;;;;;http://www.nasdaq.com/symbol/psct
QPACU;Quinpario Acquisition Corp. 2;10.43;0.0;;2015;Finance;Business Services;http://www.nasdaq.com/symbol/qpacu
CHKP;Check Point Software Technologies Ltd.;103.38;18081319447.739998;;1996;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/chkp
CHEK;Check-Cap Ltd.;2.17;33635000.0;;2015;Health Care;Medical Electronics;http://www.nasdaq.com/symbol/chek
INBK;First Internet Bancorp;29.45;190944317.1;;;Finance;Major Banks;http://www.nasdaq.com/symbol/inbk
FSFG;First Savings Financial Group, Inc.;49.147;109305483.644;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/fsfg
HYGS;Hydrogenics Corporation;6.8;85305728.0;;;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/hygs
FWONK;Liberty Media Corporation;33.71;6803424743.92;;;Consumer Services;Broadcasting;http://www.nasdaq.com/symbol/fwonk
NUTR;Nutraceutical International Corporation;31.4;290328827.4;;1998;Consumer Durables;Specialty Chemicals;http://www.nasdaq.com/symbol/nutr
DZSI;DASAN Zhone Solutions, Inc.;6.16;20177301.76;;;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/dzsi
FSFR;Fifth Street Senior Floating Rate Corp.;8.63;254298207.84;;;;;http://www.nasdaq.com/symbol/fsfr
FKO;First Trust South Korea AlphaDEX Fund;25.08;5016050.16;;;;;http://www.nasdaq.com/symbol/fko
HMSY;HMS Holdings Corp;18.25;1524838125.5;;1992;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/hmsy
LEDS;SemiLEDS Corporation;3.02;10629388.3;;2010;Technology;Semiconductors;http://www.nasdaq.com/symbol/leds
