gross_profit_per_market_cap,stock_symbol,Sector,is_SP500,is_profitable_3yr,is_revenue_growth_3yr,analyst_rating
0.1418333023602321,TLND,2,0,0,0,0
0.05216636716367606,ILMN,8,0,1,1,0
0.04761322249777278,ISRG,8,0,1,1,1
0.0,BLDP,3,0,0,1,1
0.0653764053294425,CREE,2,0,0,0,0
0.1980751803137179,COHR,2,0,1,1,1
0.2857973933410059,FULT,4,0,1,1,0
0.3159856793298121,UNIT,9,0,0,0,0
0.4879754368385279,CASY,7,0,1,1,1
0.07899433365499592,PODD,8,0,0,1,0
0.37046525887531456,MATW,0,0,1,1,1
0.15526543826356218,REGN,8,0,1,1,1
0.05265342548213164,MELI,0,0,0,1,1
1.2855315927386912,SGMS,0,0,0,1,1
0.3293855835878367,IMMR,2,0,1,1,1
0.0,VKTX,8,0,0,0,1
0.08693211474507939,MGPI,7,0,1,1,1
0.1364371608282239,NTES,2,0,0,1,1
0.7315575295792112,SND,5,0,1,1,0
0.32640687897469384,STFC,4,0,0,0,0
-0.1942580148283296,HDSN,3,0,0,1,0
0.07337467116376942,PTC,2,0,1,0,1
0.2226752939780365,CDW,2,0,1,1,0
0.43302479451866255,SBGI,0,0,1,1,0
0.5043671690279456,PLAY,0,0,1,1,0
0.16956004579766137,EGOV,2,0,1,1,1
0.04338868557339137,EXAS,8,0,0,1,1
0.014543077720103766,RESN,2,0,0,0,1
0.1987492396607751,WAFD,4,0,1,1,0
0.1850524412284608,IRDM,6,0,0,1,0
0.13210891896685947,INCY,8,0,1,1,0
0.0,LBRDK,6,0,0,0,0
0.0,NVCN,8,0,0,0,1
0.20955844719500513,TRMB,2,0,1,1,1
0.8278675347396656,GPOR,1,0,0,1,0
0.23676782588572193,ACGL,4,0,1,1,1
,SBNY,4,0,0,0,1
1.4526843996064736,GOGO,6,0,0,1,0
0.27602087665474273,SYNA,2,0,1,1,0
0.2277767887288255,NMIH,4,0,0,1,1
0.11097010492710577,MTCH,2,0,1,1,0
0.05103884407909013,TRHC,2,0,0,0,1
0.16061433421339535,HAIN,7,0,0,0,0
0.724308581615472,ECHO,3,0,1,1,1
0.6559400169653331,PDCE,1,0,0,1,1
0.15665209130890803,LPSN,2,0,0,0,1
0.0024952853320061637,TELL,1,0,0,0,1
0.0,ESPR,8,0,0,0,1
0.28818143741350305,PLCE,0,0,1,1,0
0.5655588173550363,SCHL,0,0,0,0,0
0.39777152487936085,ADTN,2,0,0,0,1
0.2267698159989461,HTGM,8,0,0,0,1
0.6714364573318883,BECN,3,0,1,1,0
0.45567850640343976,BPOP,4,0,0,1,1
0.5358717650599177,COMM,2,0,0,1,1
0.008757794487192392,ABEO,8,0,0,1,1
0.032143471209606755,RETA,8,0,0,0,1
0.00989626090479926,BLUE,8,0,0,1,1
0.0,WPRT,0,0,0,1,1
0.15948109565484941,CORT,8,0,0,1,0
0.08988126885160123,AXGN,8,0,0,1,1
0.10103270351897635,MASI,8,0,1,1,1
0.19309055157610647,BRKR,8,0,1,1,0
0.06892797462875834,NBIX,8,0,0,1,0
0.10779479282874786,CHKP,2,0,1,1,0
0.23662807736198235,JAZZ,8,0,1,1,1
0.35510112727473897,CMCO,3,0,0,1,1
0.37325966866166477,CATM,3,0,0,1,1
0.1827244461642197,ORLY,0,0,1,1,1
0.15504572041730405,FFIV,2,0,1,1,1
0.002325885981913268,PRTA,8,0,0,0,0
0.3172932233978838,SCWX,2,0,0,1,0
0.04516832303697735,PAAS,5,0,0,1,1
0.06036869117646896,TRUP,4,0,0,1,0
0.34911812607356246,HOPE,4,0,1,1,0
0.5341893599971386,MRTN,3,0,1,1,1
0.18975214342837662,LMNX,8,0,0,1,0
0.00044721821828454255,TGTX,8,0,0,0,1
0.31141505686962423,CRUS,2,0,1,1,1
0.11683263916210562,TXRH,0,0,1,1,0
0.12594558890854385,BEAT,8,0,1,1,1
0.1985742188437602,EEFT,3,0,1,1,1
0.7316829985146549,CVGI,0,0,1,1,1
0.12311894003980535,WWD,3,0,1,1,0
0.15526395173453997,HOLI,3,0,1,0,1
0.0,CBAY,8,0,0,0,1
0.026970217412681595,AVEO,8,0,0,0,1
0.11170984247171638,RCM,2,0,0,1,1
0.0,TSEM,2,0,0,1,1
0.23396132481106344,CHRW,3,0,1,1,0
0.08827118148651975,SPPI,8,0,0,0,1
0.09510348487445336,TTD,2,0,1,1,0
0.08823322380041401,ASML,2,0,1,1,0
0.07739715768150317,IDXX,8,0,1,1,1
0.0,ONCS,8,0,0,0,1
0.03659134553079083,SRPT,8,0,0,1,1
0.06242179453841407,SGEN,8,0,0,1,1
0.35333959904828705,TCBI,4,0,1,1,0
0.6791455592492159,DXPE,3,0,0,0,0
0.2343033791216776,NWBI,4,0,1,1,0
0.11165390640895309,RP,2,0,0,1,1
0.19289677149529638,PSEC,4,0,0,0,-1
0.1643963718777892,QDEL,8,0,0,1,1
0.2693511147022864,WETF,4,0,0,0,0
0.14803337942842235,INVA,8,0,0,1,0
1.0063271984352788,BJRI,0,0,1,1,0
0.14946326968102622,FLIR,2,0,1,1,1
0.29424890441144164,JCOM,2,0,0,1,1
